category,firstname,lastname,email,gender,birthDate
toys,Maribel,Towne,dagmar75@gmail.com,female,1972-05-05
electronics,Martina,Heller,dreinger@yahoo.com,female,1990-11-27
handmade,Santina,Runte,murazik.coty@hotmail.com,male,1990-11-05
handmade,Ora,Schinner,dwindler@schiller.com,female,2003-08-05
health,Blake,Robel,korey.hagenes@yahoo.com,female,2001-07-09
films,Jessyca,Ruecker,braulio.hodkiewicz@gmail.com,female,2003-12-27
books,Kirstin,Grady,lemke.cyrus@labadie.com,female,1992-08-11
clothes,Zoe,Hand,kianna34@hotmail.com,female,1984-03-15
books,Johnnie,Corwin,koch.jorge@block.com,male,2004-01-17
food,Sigmund,Prohaska,dagmar.reilly@bradtke.biz,male,2000-07-02
clothes,Noel,Nicolas,makenzie57@ullrich.biz,male,1994-01-29
clothes,Rosamond,Terry,arlo.lynch@sanford.com,male,1988-07-02
sports,Deanna,Cassin,percy.rice@gmail.com,female,1992-12-02
